Mach, CD
0.00858369098712286, 0.7474137931034472
0.21459227467810926, 0.7612068965517232
0.3948497854077231, 0.7732758620689645
0.5407725321888384, 0.7905172413793093
0.6781115879828299, 0.8094827586206884
0.789699570815448, 0.8431034482758607
0.8755364806866925, 0.8827586206896536
0.9356223175965628, 0.9172413793103431
0.952789699570812, 0.9439655172413773
0.9699570815450613, 0.9775862068965496
0.9957081545064344, 1.0396551724137908
1.0300429184549325, 1.0948275862068941
1.0472103004291813, 1.1396551724137902
1.0987124463519282, 1.1931034482758593
1.1845493562231724, 1.2241379310344795
1.3218884120171634, 1.254310344827583
1.5622317596566484, 1.2793103448275827
1.8369098712446306, 1.2896551724137897
2.188841201716732, 1.2827586206896517
2.532188841201711, 1.2551724137931002
2.8841201716738136, 1.2232758620689623
3.227467811158791, 1.1913793103448245
3.6223175965665164, 1.1577586206896524
3.982832618025743, 1.1353448275862044
4.274678111587974, 1.120689655172411
4.755364806866943, 1.0999999999999974
5.253218884120162, 1.084482758620687
5.596566523605139, 1.07413793103448
6.2145922746781, 1.065517241379308
6.81545064377681, 1.0551724137931011
7.570815450643762, 1.047413793103446
8.5321888412017, 1.0456896551724113
9.218884120171658, 1.0465517241379287
9.768240343347621, 1.047413793103446
10.454935622317578, 1.0474137931034457
11.622317596566502, 1.0465517241379287
13.39055793991414, 1.0465517241379287
14.712446351931304, 1.0465517241379287
16.171673819742463, 1.0465517241379287
17.527896995708126, 1.0465517241379287
19.278969957081515, 1.0456896551724115
20.858369098712412, 1.0456896551724113
